"","seqn","sddsrvyr","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","dmdcitzn","dmdeduc2","dmdmartl","sialang","siaproxy","siaintrp","fialang","fiaproxy","fiaintrp","mialang","miaproxy","miaintrp","dmdhhsiz","dmdfmsiz","dmdhrgnd","dmdhrage","dmdhredu","dmdhrmar","wtint2yr","wtmec2yr","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","year"
"8161",49635,5,2,1,45,3,2,1,3,1,1,2,2,1,2,2,1,2,2,5,5,2,41,3,1,31673.757423,31667.733301,1,61,6,6,1.04,"2007-2008"
"8164",49638,5,2,2,73,2,2,1,3,1,2,2,2,1,2,2,2,2,2,2,2,1,75,3,1,6340.396598,6724.765998,1,62,14,14,5,"2007-2008"
"8167",49641,5,2,1,68,3,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,68,5,1,58553.019777,59923.937698,2,67,14,14,5,"2007-2008"
"8170",49644,5,2,1,60,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,54,5,1,52939.841053,60831.929455,1,60,15,15,5,"2007-2008"
"8180",49654,5,2,2,65,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,65,5,1,55604.39463,57189.677009,1,67,9,9,4.38,"2007-2008"
"8182",49656,5,2,2,45,1,1,1,2,1,2,2,2,1,2,2,2,2,2,4,4,1,45,2,1,16631.045847,16879.220684,1,65,8,8,2.18,"2007-2008"
"8188",49662,5,2,2,74,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,74,3,1,33715.313253,33320.621804,1,67,6,6,2.19,"2007-2008"
"8193",49667,5,2,2,35,5,1,2,5,1,1,2,2,1,2,2,1,2,2,3,3,1,35,5,1,70820.145333,73392.860219,2,68,15,15,5,"2007-2008"
"8197",49671,5,2,2,33,3,1,1,5,1,1,2,2,1,2,2,1,2,2,4,4,2,33,5,1,60428.027586,60876.39607,1,70,14,14,4.12,"2007-2008"
"8202",49676,5,2,1,59,3,2,1,4,1,1,2,2,1,2,2,1,2,2,4,4,2,60,4,1,63806.113335,63922.778367,1,60,6,6,1.6,"2007-2008"
"8206",49680,5,2,1,48,3,2,1,5,1,1,2,2,1,2,2,1,2,2,4,4,1,48,5,1,138079.655044,140717.195744,2,61,14,14,3.87,"2007-2008"
"8208",49682,5,2,2,73,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,73,1,1,5957.076377,6860.05469,1,60,3,3,1.04,"2007-2008"
"8210",49684,5,2,2,39,3,2,1,2,1,1,2,2,1,2,2,1,2,2,4,4,1,39,4,1,71121.044298,71760.725127,2,59,9,9,2.71,"2007-2008"
